edge_id,roi_1,roi_2,beta,se,ci_lower,ci_upper,z,p_uncorrected,p_fdr,n
dPAG_vlPAG,dPAG,vlPAG,2.7608,1.5549,-0.2869,5.8085,1.7755,0.07581590106309423,0.6848052275716968,53
dPAG_piri,dPAG,piri,-2.0973,1.2382,-4.5242,0.3296,-1.6938,0.09030338922442084,0.6848052275716968,53
dPAG_Hyp,dPAG,Hyp,0.4069,1.2324,-2.0087,2.8225,0.3302,0.7412574517247696,0.9275247322584651,53
dPAG_BLA,dPAG,BLA,0.1344,1.4241,-2.6568,2.9255,0.0944,0.9248276557056186,0.974396420965382,53
dPAG_sgACC,dPAG,sgACC,2.1035,1.5526,-0.9396,5.1466,1.3548,0.17547036641335845,0.7417461097836268,53
dPAG_pACC,dPAG,pACC,-0.7937,1.9224,-4.5616,2.9741,-0.4129,0.6796842397069678,0.9105505738162021,53
dPAG_dACC,dPAG,dACC,-0.4928,1.3844,-3.2063,2.2207,-0.356,0.7218549085490225,0.9217448938968782,53
dPAG_dpIns,dPAG,dpIns,1.3883,2.035,-2.6003,5.377,0.6822,0.49510566598953687,0.853684141712299,53
dPAG_dmIns,dPAG,dmIns,-1.9964,1.5754,-5.0841,1.0914,-1.2672,0.20506758741592646,0.7417461097836268,53
dPAG_mvaIns,dPAG,mvaIns,-2.0582,1.369,-4.7414,0.625,-1.5035,0.1327191227384252,0.7055471025145804,53
dPAG_lvaIns,dPAG,lvaIns,-3.4736,1.4667,-6.3482,-0.5989,-2.3684,0.017866998015605054,0.4556084493979289,53
dPAG_dmPFC,dPAG,dmPFC,1.2262,1.2048,-1.1353,3.5877,1.0178,0.30879427668548143,0.7782057180137869,53
dPAG_vmPFC,dPAG,vmPFC,1.1008,1.7546,-2.3383,4.5399,0.6274,0.5304202366588673,0.853684141712299,53
dPAG_S1,dPAG,S1,1.1214,1.2698,-1.3674,3.6103,0.8832,0.37715220927341,0.8485924708651725,53
dPAG_M1,dPAG,M1,0.9686,1.4356,-1.8453,3.7824,0.6747,0.4998860260695608,0.853684141712299,53
dPAG_PoI1,dPAG,PoI1,-4.62,1.1532,-6.8802,-2.3598,-4.0064,6.165285531754701e-05,0.009432886863584693,53
dPAG_PoI2,dPAG,PoI2,-3.4618,1.3607,-6.1287,-0.7949,-2.5442,0.010953149895342332,0.38326271356134706,53
vlPAG_piri,vlPAG,piri,-0.5353,1.7751,-4.0145,2.9439,-0.3016,0.7629938571234746,0.9275247322584651,53
vlPAG_Hyp,vlPAG,Hyp,0.1025,1.3514,-2.5463,2.7513,0.0759,0.9395270367800795,0.974396420965382,53
vlPAG_BLA,vlPAG,BLA,1.5121,1.3554,-1.1444,4.1687,1.1157,0.2645648979545443,0.7782057180137869,53
vlPAG_sgACC,vlPAG,sgACC,3.2021,1.6082,0.05,6.3542,1.9911,0.046470257772759295,0.6848052275716968,53
vlPAG_pACC,vlPAG,pACC,1.5749,1.4828,-1.3314,4.4813,1.0621,0.28818870931181106,0.7782057180137869,53
vlPAG_dACC,vlPAG,dACC,-0.6799,1.4205,-3.4641,2.1043,-0.4787,0.6321830662976528,0.903962702276083,53
vlPAG_dpIns,vlPAG,dpIns,3.6335,2.0983,-0.4792,7.7462,1.7316,0.08333745298749505,0.6848052275716968,53
