edge_id,roi_1,roi_2,beta,se,ci_lower,ci_upper,z,p_uncorrected,p_fdr,n
vlPAG_dmIns,vlPAG,dmIns,0.7427,1.842,-2.8676,4.353,0.4032,0.6868030206432008,0.9105505738162021,53
vlPAG_mvaIns,vlPAG,mvaIns,-2.6897,1.5635,-5.7542,0.3749,-1.7202,0.08538802744580214,0.6848052275716968,53
vlPAG_lvaIns,vlPAG,lvaIns,-2.7491,1.8423,-6.3601,0.8618,-1.4922,0.13563825100070126,0.7055471025145804,53
vlPAG_dmPFC,vlPAG,dmPFC,0.9924,1.1881,-1.3364,3.3211,0.8352,0.40359752105664126,0.853684141712299,53
vlPAG_vmPFC,vlPAG,vmPFC,0.145,1.747,-3.2791,3.5692,0.083,0.9338383973043431,0.974396420965382,53
vlPAG_S1,vlPAG,S1,2.8609,1.4326,0.0531,5.6687,1.9971,0.04581884982860293,0.6848052275716968,53
vlPAG_M1,vlPAG,M1,1.8788,1.5356,-1.1309,4.8885,1.2235,0.22113670613913217,0.7417461097836268,53
vlPAG_PoI1,vlPAG,PoI1,-1.4339,1.6506,-4.6692,1.8013,-0.8687,0.38499733053284446,0.853684141712299,53
vlPAG_PoI2,vlPAG,PoI2,-0.9284,1.6195,-4.1026,2.2458,-0.5733,0.5664537794414531,0.8666742825454233,53
piri_Hyp,piri,Hyp,-0.471,1.0668,-2.562,1.6199,-0.4415,0.6588201602034487,0.9105505738162021,53
piri_BLA,piri,BLA,2.0854,1.2621,-0.3883,4.5591,1.6523,0.09846872553318516,0.6848052275716968,53
piri_sgACC,piri,sgACC,0.1678,1.2755,-2.3322,2.6679,0.1316,0.8953127392498061,0.974396420965382,53
piri_pACC,piri,pACC,0.6836,1.1197,-1.5111,2.8783,0.6105,0.5415417324906477,0.853684141712299,53
piri_dACC,piri,dACC,2.3285,1.2298,-0.0818,4.7389,1.8934,0.058298267708739054,0.6848052275716968,53
piri_dpIns,piri,dpIns,1.2299,1.3704,-1.4562,3.9159,0.8974,0.3694858403043193,0.8437512472621023,53
piri_dmIns,piri,dmIns,-0.3867,1.727,-3.7716,2.9981,-0.2239,0.8227994226864281,0.9660117319875997,53
piri_mvaIns,piri,mvaIns,2.025,1.3782,-0.6763,4.7264,1.4693,0.1417573170904049,0.7055471025145804,53
piri_lvaIns,piri,lvaIns,0.2997,1.283,-2.2149,2.8143,0.2336,0.815300764244105,0.9660117319875997,53
piri_dmPFC,piri,dmPFC,1.3307,1.2309,-1.0819,3.7433,1.0811,0.27966552393798794,0.7782057180137869,53
piri_vmPFC,piri,vmPFC,0.2606,1.2886,-2.2651,2.7863,0.2022,0.8397356885905278,0.9660117319875997,53
piri_S1,piri,S1,0.0646,1.1756,-2.2396,2.3687,0.0549,0.9561990701390045,0.974396420965382,53
piri_M1,piri,M1,0.6772,1.1238,-1.5255,2.8799,0.6026,0.5468042214889235,0.853684141712299,53
piri_PoI1,piri,PoI1,0.6925,1.3113,-1.8777,3.2628,0.5281,0.59741348716043,0.8874200343256872,53
piri_PoI2,piri,PoI2,-0.339,1.4547,-3.1902,2.5122,-0.233,0.8157413923258451,0.9660117319875997,53
Hyp_BLA,Hyp,BLA,1.5052,1.2464,-0.9378,3.9482,1.2076,0.22721083466184344,0.7417461097836268,53
Hyp_sgACC,Hyp,sgACC,1.7603,0.9347,-0.0716,3.5923,1.8834,0.0596437269025708,0.6848052275716968,53
Hyp_pACC,Hyp,pACC,1.1217,1.1573,-1.1466,3.3899,0.9692,0.33242499078141785,0.794703493586827,53
Hyp_dACC,Hyp,dACC,0.4889,1.5967,-2.6405,3.6184,0.3062,0.7594301468941201,0.9275247322584651,53
Hyp_dpIns,Hyp,dpIns,-1.1953,1.8962,-4.9119,2.5212,-0.6304,0.5284365571044096,0.853684141712299,53
Hyp_dmIns,Hyp,dmIns,-0.8623,1.2789,-3.369,1.6444,-0.6743,0.5001518701673593,0.853684141712299,53
Hyp_mvaIns,Hyp,mvaIns,0.084,1.004,-1.8838,2.0518,0.0837,0.9333071774638413,0.974396420965382,53
Hyp_lvaIns,Hyp,lvaIns,-1.7772,1.36,-4.4429,0.8885,-1.3067,0.1913139126260074,0.7417461097836268,53
Hyp_dmPFC,Hyp,dmPFC,1.5129,1.1007,-0.6446,3.6704,1.3744,0.16930491524960267,0.7417461097836268,53
Hyp_vmPFC,Hyp,vmPFC,0.4784,0.708,-0.9093,1.866,0.6757,0.49924119230957675,0.853684141712299,53
Hyp_S1,Hyp,S1,-0.2333,1.1452,-2.4779,2.0113,-0.2037,0.8385565418239123,0.9660117319875997,53
Hyp_M1,Hyp,M1,-0.7385,1.1332,-2.9596,1.4827,-0.6516,0.5146278557267598,0.853684141712299,53
Hyp_PoI1,Hyp,PoI1,-0.844,1.154,-3.1057,1.4178,-0.7314,0.46455911275506945,0.853684141712299,53
Hyp_PoI2,Hyp,PoI2,-1.4849,1.0622,-3.5669,0.5971,-1.3979,0.16213929172398112,0.7417461097836268,53
BLA_sgACC,BLA,sgACC,1.0445,1.6073,-2.1058,4.1947,0.6498,0.5158043848447282,0.853684141712299,53
BLA_pACC,BLA,pACC,1.5557,1.2091,-0.8142,3.9257,1.2866,0.19821983637067664,0.7417461097836268,53
BLA_dACC,BLA,dACC,4.1395,1.1907,1.8058,6.4732,3.4767,0.0005076821503416863,0.038837684501139,53
BLA_dpIns,BLA,dpIns,-1.1259,1.7785,-4.6118,2.36,-0.6331,0.5266869808573021,0.853684141712299,53
BLA_dmIns,BLA,dmIns,1.0799,1.5676,-1.9925,4.1523,0.6889,0.49087938808193576,0.853684141712299,53
BLA_mvaIns,BLA,mvaIns,2.617,1.2267,0.2127,5.0212,2.1334,0.032892511827687036,0.6848052275716968,53
BLA_lvaIns,BLA,lvaIns,1.4677,1.2054,-0.895,3.8303,1.2175,0.2234023991306231,0.7417461097836268,53
BLA_dmPFC,BLA,dmPFC,-0.2053,1.3239,-2.8001,2.3896,-0.155,0.8767932353442607,0.9712518496510033,53
BLA_vmPFC,BLA,vmPFC,-1.2429,1.1818,-3.5592,1.0734,-1.0517,0.29293855645873346,0.7782057180137869,53
BLA_S1,BLA,S1,-1.1472,1.0131,-3.1328,0.8384,-1.1324,0.257461581623879,0.7782057180137869,53
BLA_M1,BLA,M1,-0.9976,1.0162,-2.9893,0.9941,-0.9817,0.3262557076099748,0.7923352899099388,53
BLA_PoI1,BLA,PoI1,2.1662,1.1386,-0.0654,4.3978,1.9026,0.0570972077224279,0.6848052275716968,53
BLA_PoI2,BLA,PoI2,0.9174,1.3052,-1.6408,3.4756,0.7029,0.48212204977819484,0.853684141712299,53
sgACC_pACC,sgACC,pACC,1.0661,0.7746,-0.4521,2.5843,1.3763,0.16873141099021627,0.7417461097836268,53
sgACC_dACC,sgACC,dACC,0.7085,1.4325,-2.0993,3.5162,0.4946,0.6209164546374919,0.8977870662243995,53
sgACC_dpIns,sgACC,dpIns,1.2184,1.8312,-2.3707,4.8076,0.6654,0.5058181470741907,0.853684141712299,53
sgACC_dmIns,sgACC,dmIns,-0.4843,1.1254,-2.69,1.7215,-0.4303,0.6669678925442755,0.9105505738162021,53
sgACC_mvaIns,sgACC,mvaIns,0.0161,1.1204,-2.1799,2.2121,0.0144,0.9885385649572631,0.9885385649572631,53
sgACC_lvaIns,sgACC,lvaIns,0.41,1.3478,-2.2317,3.0516,0.3042,0.7609972621808098,0.9275247322584651,53
sgACC_dmPFC,sgACC,dmPFC,1.488,0.9865,-0.4455,3.4215,1.5084,0.1314587617311089,0.7055471025145804,53
sgACC_vmPFC,sgACC,vmPFC,0.2906,0.6788,-1.0399,1.6211,0.4281,0.6685721328530065,0.9105505738162021,53
sgACC_S1,sgACC,S1,-1.7601,1.3154,-4.3383,0.818,-1.3381,0.18085902818100796,0.7417461097836268,53
sgACC_M1,sgACC,M1,-1.4844,1.1426,-3.7239,0.755,-1.2992,0.19388204767811157,0.7417461097836268,53
sgACC_PoI1,sgACC,PoI1,0.0538,1.1185,-2.1386,2.2461,0.0481,0.9616592128481876,0.974396420965382,53
sgACC_PoI2,sgACC,PoI2,-0.9839,0.969,-2.8831,0.9154,-1.0153,0.30994020794897736,0.7782057180137869,53
pACC_dACC,pACC,dACC,-0.5066,0.6557,-1.7917,0.7785,-0.7726,0.43973542382827524,0.853684141712299,53
pACC_dpIns,pACC,dpIns,-3.0336,1.7724,-6.5075,0.4403,-1.7116,0.08697721649121243,0.6848052275716968,53
pACC_dmIns,pACC,dmIns,-0.4148,1.0881,-2.5474,1.7179,-0.3812,0.7030650488826609,0.919392756231172,53
pACC_mvaIns,pACC,mvaIns,-0.7363,0.9856,-2.6681,1.1955,-0.7471,0.4550238784145133,0.853684141712299,53
pACC_lvaIns,pACC,lvaIns,-0.2077,1.2551,-2.6678,2.2523,-0.1655,0.8685407772369005,0.9712518496510033,53
pACC_dmPFC,pACC,dmPFC,0.5332,0.8056,-1.0457,2.1121,0.6619,0.5080551653784697,0.853684141712299,53
pACC_vmPFC,pACC,vmPFC,0.041,0.6391,-1.2117,1.2937,0.0641,0.9488713164939766,0.974396420965382,53
pACC_S1,pACC,S1,1.0092,0.9946,-0.9403,2.9587,1.0147,0.3102650248290262,0.7782057180137869,53
pACC_M1,pACC,M1,1.5803,1.0392,-0.4565,3.617,1.5207,0.12832780658430354,0.7055471025145804,53
pACC_PoI1,pACC,PoI1,-1.1616,0.9342,-2.9927,0.6695,-1.2434,0.21372338329916907,0.7417461097836268,53
pACC_PoI2,pACC,PoI2,-0.4152,0.9092,-2.1972,1.3668,-0.4567,0.6479014005374196,0.9105505738162021,53
dACC_dpIns,dACC,dpIns,1.0035,1.2444,-1.4355,3.4424,0.8064,0.42001189885269796,0.853684141712299,53
dACC_dmIns,dACC,dmIns,0.641,1.2129,-1.7362,3.0181,0.5285,0.5971744210402199,0.8874200343256872,53
dACC_mvaIns,dACC,mvaIns,-0.3579,0.8983,-2.1186,1.4029,-0.3984,0.6903520690371205,0.9105505738162021,53
dACC_lvaIns,dACC,lvaIns,1.4198,1.5348,-1.5884,4.428,0.9251,0.3549257543745865,0.8280849661076017,53
dACC_dmPFC,dACC,dmPFC,-0.3889,0.6925,-1.7462,0.9684,-0.5616,0.5743844010365984,0.8701070629564313,53
dACC_vmPFC,dACC,vmPFC,0.1313,0.8873,-1.6078,1.8703,0.148,0.8823791313822841,0.9712518496510033,53
dACC_S1,dACC,S1,1.2378,0.724,-0.1813,2.6568,1.7096,0.08734128337388676,0.6848052275716968,53
dACC_M1,dACC,M1,1.3052,0.6986,-0.0641,2.6745,1.8683,0.06172063840399098,0.6848052275716968,53
dACC_PoI1,dACC,PoI1,0.0696,0.7676,-1.4349,1.574,0.0907,0.9277701792043126,0.974396420965382,53
dACC_PoI2,dACC,PoI2,0.4051,0.7863,-1.136,1.9461,0.5152,0.6064136569982632,0.8921277838532141,53
dpIns_dmIns,dpIns,dmIns,4.3061,1.5276,1.3121,7.3001,2.8189,0.00481831089354173,0.24573385557062824,53
dpIns_mvaIns,dpIns,mvaIns,0.715,1.6412,-2.5017,3.9318,0.4357,0.6630661353442521,0.9105505738162021,53
dpIns_lvaIns,dpIns,lvaIns,-0.7446,1.2544,-3.2032,1.714,-0.5936,0.5528038105718065,0.8543331617927918,53
dpIns_dmPFC,dpIns,dmPFC,2.7045,1.4925,-0.2207,5.6298,1.8121,0.0699645745889509,0.6848052275716968,53
dpIns_vmPFC,dpIns,vmPFC,0.3734,1.7103,-2.9788,3.7256,0.2183,0.8271655535427425,0.9660117319875997,53
dpIns_S1,dpIns,S1,-0.8562,1.2451,-3.2967,1.5843,-0.6877,0.4916703573973029,0.853684141712299,53
dpIns_M1,dpIns,M1,-0.0727,1.363,-2.7442,2.5988,-0.0533,0.9574634222064955,0.974396420965382,53
dpIns_PoI1,dpIns,PoI1,-0.637,1.0017,-2.6004,1.3264,-0.6359,0.5248308040702779,0.853684141712299,53
dpIns_PoI2,dpIns,PoI2,-1.0035,1.0899,-3.1397,1.1328,-0.9207,0.35721312263465177,0.8280849661076017,53
dmIns_mvaIns,dmIns,mvaIns,0.3052,1.1341,-1.9175,2.528,0.2692,0.787807346274837,0.9490907400003941,53
dmIns_lvaIns,dmIns,lvaIns,1.7972,1.1408,-0.4387,4.0331,1.5755,0.11515114500404869,0.7055471025145804,53
dmIns_dmPFC,dmIns,dmPFC,0.6259,1.029,-1.391,2.6427,0.6082,0.5430342348749659,0.853684141712299,53
dmIns_vmPFC,dmIns,vmPFC,-0.3933,1.309,-2.9588,2.1723,-0.3004,0.76384389715403,0.9275247322584651,53
dmIns_S1,dmIns,S1,-0.8392,1.0498,-2.8967,1.2183,-0.7994,0.42403814429421516,0.853684141712299,53
dmIns_M1,dmIns,M1,0.0536,1.0866,-2.0761,2.1834,0.0494,0.9606354172225336,0.974396420965382,53
dmIns_PoI1,dmIns,PoI1,1.7654,1.2052,-0.5967,4.1275,1.4649,0.1429539880911895,0.7055471025145804,53
dmIns_PoI2,dmIns,PoI2,1.671,1.3655,-1.0054,4.3474,1.2237,0.22105093203732995,0.7417461097836268,53
mvaIns_lvaIns,mvaIns,lvaIns,1.1869,1.1686,-1.1035,3.4773,1.0157,0.3097793220607439,0.7782057180137869,53
mvaIns_dmPFC,mvaIns,dmPFC,0.1823,0.9892,-1.7564,2.1211,0.1843,0.8537480842805546,0.9712518496510033,53
mvaIns_vmPFC,mvaIns,vmPFC,0.2788,0.8357,-1.3592,1.9168,0.3336,0.7386498601100777,0.9275247322584651,53
mvaIns_S1,mvaIns,S1,1.3772,1.154,-0.8846,3.6389,1.1934,0.2327046618929025,0.7417461097836268,53
mvaIns_M1,mvaIns,M1,0.7748,1.0152,-1.215,2.7647,0.7632,0.4453395612672615,0.853684141712299,53
mvaIns_PoI1,mvaIns,PoI1,-0.1575,0.9286,-1.9776,1.6625,-0.1696,0.8652977964155378,0.9712518496510033,53
mvaIns_PoI2,mvaIns,PoI2,-0.3317,0.8973,-2.0904,1.4271,-0.3696,0.7116733373775155,0.9217448938968782,53
lvaIns_dmPFC,lvaIns,dmPFC,-0.2229,1.3972,-2.9613,2.5156,-0.1595,0.8732617411142343,0.9712518496510033,53
lvaIns_vmPFC,lvaIns,vmPFC,-0.076,1.0665,-2.1664,2.0143,-0.0713,0.9431745837300367,0.974396420965382,53
lvaIns_S1,lvaIns,S1,-1.1341,1.058,-3.2079,0.9397,-1.0719,0.28377001939967006,0.7782057180137869,53
lvaIns_M1,lvaIns,M1,-0.3777,0.9395,-2.2192,1.4638,-0.402,0.6876875886869599,0.9105505738162021,53
lvaIns_PoI1,lvaIns,PoI1,1.5123,0.9047,-0.261,3.2855,1.6715,0.09462767645517224,0.6848052275716968,53
lvaIns_PoI2,lvaIns,PoI2,1.0189,1.0305,-1.0008,3.0386,0.9888,0.3227767533220166,0.7923352899099388,53
dmPFC_vmPFC,dmPFC,vmPFC,1.0694,0.7061,-0.3146,2.4535,1.5145,0.12990308971393286,0.7055471025145804,53
dmPFC_S1,dmPFC,S1,1.8816,0.7536,0.4047,3.3586,2.497,0.012524925279782584,0.38326271356134706,53
dmPFC_M1,dmPFC,M1,0.8586,0.7129,-0.5387,2.256,1.2044,0.2284490270746401,0.7417461097836268,53
dmPFC_PoI1,dmPFC,PoI1,0.7082,0.8981,-1.052,2.4684,0.7886,0.4303612107515393,0.853684141712299,53
dmPFC_PoI2,dmPFC,PoI2,0.8204,0.7576,-0.6644,2.3053,1.083,0.2788194373485192,0.7782057180137869,53
vmPFC_S1,vmPFC,S1,1.7115,1.0997,-0.4439,3.8668,1.5564,0.11962422672333686,0.7055471025145804,53
vmPFC_M1,vmPFC,M1,1.0186,0.9717,-0.8858,2.923,1.0483,0.29448441778907375,0.7782057180137869,53
vmPFC_PoI1,vmPFC,PoI1,-0.8149,1.2375,-3.2404,1.6107,-0.6585,0.5102388292480782,0.853684141712299,53
vmPFC_PoI2,vmPFC,PoI2,-1.6529,1.2278,-4.0594,0.7537,-1.3462,0.17824217448623048,0.7417461097836268,53
S1_M1,S1,M1,-0.5622,1.1404,-2.7974,1.6729,-0.493,0.6219962681031788,0.8977870662243995,53
S1_PoI1,S1,PoI1,-0.5207,0.7999,-2.0886,1.0472,-0.651,0.5150718366140594,0.853684141712299,53
S1_PoI2,S1,PoI2,-0.934,0.9022,-2.7023,0.8343,-1.0353,0.30055202631853994,0.7782057180137869,53
M1_PoI1,M1,PoI1,0.4616,0.7095,-0.929,1.8523,0.6507,0.5152598249284702,0.853684141712299,53
M1_PoI2,M1,PoI2,0.2974,0.8387,-1.3466,1.9413,0.3545,0.722937171683826,0.9217448938968782,53
PoI1_PoI2,PoI1,PoI2,-0.0603,2.203,-4.3782,4.2575,-0.0274,0.9781549054521007,0.9845901350932329,53
